Time	1st	2nd	3rd	4th	5th	6th	7th	8th	9th	10th
0	-0.12	-0.248	-1.024	0.248	-1.024	-0.32	0.224	-1.024	-0.296	-1.024
0.002	0.072	-0.352	-1.024	0.248	-1.024	-0.128	0.072	-1.024	-0.12	-1.024
0.004	0.248	-0.16	-1.024	0.016	-1.024	0.12	-0.176	-1.024	0.096	-1.024
0.006	0.144	0.088	-1.024	-0.176	-1.024	0.256	-0.368	-1.024	0.248	-1.024
0.008	0.16	0.2	-1.024	-0.352	-1.024	0.224	-0.328	-1.024	0.232	-1.024
0.01	-0.088	0.248	-1.024	-0.32	-1.024	0.08	-0.136	-1.024	0.048	-1.024
0.012	-0.312	0.2	-1.024	-0.136	-1.024	-0.128	0.072	-1.024	-0.128	-1.024
0.014	-0.32	-0.088	-1.024	0.136	-1.024	-0.376	0.264	-1.024	-0.304	-1.024
0.016	-0.2	-0.248	-1.024	0.28	-1.024	-0.344	0.264	-1.024	-0.312	-1.024
0.018	0.08	-0.368	-1.024	0.248	-1.024	-0.104	0.144	-1.024	-0.088	-1.024
0.02	0.224	-0.208	-1.024	0.096	-1.024	0.104	-0.056	-1.024	0.048	-1.024
0.022	0.224	0.016	-1.024	-0.128	-1.024	0.176	-0.288	-1.024	0.24	-1.024
0.024	0.208	0.192	-1.024	-1.024	-1.024	0.224	-0.344	-1.024	0.232	-1.024
0.026	-0.088	0.272	-1.024	-1.024	-1.024	0.136	-0.248	-1.024	0.088	-1.024
0.028	-0.24	0.184	-1.024	-1.024	-1.024	-0.112	-0.048	-1.024	-0.088	-1.024
0.03	-0.304	0.016	-1.024	-1.024	-1.024	-0.288	0.16	-1.024	-0.304	-1.024
0.032	-0.24	-0.16	-1.024	-1.024	-1.024	-0.416	0.32	-1.024	-0.392	-1.024
0.034	-0.032	-0.296	-1.024	-1.024	-1.024	-0.24	0.24	-1.024	-0.248	-1.024
0.036	0.224	-0.24	-1.024	-1.024	-1.024	0.032	-0.008	-1.024	0	-1.024
0.038	0.232	-0.064	-1.024	-1.024	-1.024	0.16	-0.192	-1.024	0.168	-1.024
0.04	0.208	0.104	-1.024	-1.024	-1.024	0.296	-0.376	-1.024	0.28	-1.024
0.042	0.144	0.272	-1.024	-1.024	-1.024	0.232	-0.32	-1.024	0.144	-1.024
0.044	-0.24	0.296	-1.024	-1.024	-1.024	-0.008	-0.096	-1.024	-0.048	-1.024
0.046	-0.376	0.112	-1.024	-1.024	-1.024	-0.248	0.104	-1.024	-0.24	-1.024
0.048	-0.36	-0.136	-1.024	-1.024	-1.024	-0.384	0.28	-1.024	-0.368	-1.024
0.05	-0.072	-0.328	-1.024	-1.024	-1.024	-0.376	0.272	-1.024	-0.24	-1.024
0.052	0.184	-0.36	-1.024	-1.024	-1.024	-0.072	0.112	-1.024	0.016	-1.024
0.054	0.24	-0.112	-1.024	-1.024	-1.024	0.136	-0.12	-1.024	0.144	-1.024
0.056	0.232	0.072	-1.024	-1.024	-1.024	0.272	-0.28	-1.024	0.248	-1.024
0.058	0.24	0.24	-1.024	-1.024	-1.024	0.264	-0.336	-1.024	0.232	-1.024
0.06	-0.12	0.24	-1.024	-1.024	-1.024	0.048	-0.216	-1.024	0.048	-1.024
0.062	-0.384	0.168	-1.024	-1.024	-1.024	-0.112	0.016	-1.024	-0.192	-1.024
0.064	-0.232	-0.032	-1.024	-1.024	-1.024	-0.32	0.184	-1.024	-0.288	-1.024
0.066	-0.12	-0.264	-1.024	-1.024	-1.024	-0.376	0.264	-1.024	-0.344	-1.024
0.068	0.056	-0.32	-1.024	-1.024	-1.024	-0.192	0.144	-1.024	-0.096	-1.024
0.07	0.208	-0.232	-1.024	-1.024	-1.024	0.072	-0.016	-1.024	0.016	-1.024
0.072	0.288	-0.016	-1.024	-1.024	-1.024	0.224	-0.232	-1.024	0.144	-1.024
0.074	0.168	0.168	-1.024	-1.024	-1.024	0.248	-0.328	-1.024	0.184	-1.024
